No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;N;N;RH;RH;N;N;RH;RH;N;N;RH;RH;RH;RH;120:00:00;167:00:00;47:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;120:00:00
2;;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH;RH;N;N;RH;RH;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
4;;RH;RH;FC;J1;RH;RH;M;M;M;J1;J1;RH;RH;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;116:00:00;132:00:00;16:00:00;04:00:00;20:00:00;147:00:00;07:00:00;28:00:00;116:00:00
5;;S;S;RH;RH;M;M;J1;J1;J1;RH;RH;S;S;S;RH;RH;S;S;S;S;S;RH;RH;S;S;S;S;S;RH;RH;149:00:00;167:00:00;18:00:00;02:00:00;20:00:00;147:00:00;00:00:00;00:00:00;149:00:00
6;;J1;J1;J1;RH;RH;RH;S;S;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S;RH;RH;M;M;M;M;M;121:00:00;132:00:00;11:00:00;09:00:00;20:00:00;147:00:00;00:00:00;35:00:00;121:00:00
7;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;00:00:00;20:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;147:00:00;00:00:00
8;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;00:00:00;20:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;147:00:00;00:00:00
9;;RH;RH;M;M;M;M;M;RH;RH;M;M;M;RH;RH;S;S;S;S;S;RH;RH;J1;J1;J1;J1;RH;RH;S;S;S;152:00:00;167:00:00;15:00:00;05:00:00;20:00:00;147:00:00;00:00:00;00:00:00;152:00:00
10;;RH;RH;S;S;S;RH;RH;M;M;M;M;RH;RH;M;M;M;M;M;RH;RH;M;M;M;M;M;RH;RH;J2;J2;J2;149:00:00;167:00:00;18:00:00;02:00:00;20:00:00;147:00:00;00:00:00;00:00:00;149:00:00
11;;S;S;S;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;N;RH;RH;M;M;RH;RH;M;M;M;M;RH;RH;N;N;113:00:00;132:00:00;19:00:00;01:00:00;20:00:00;147:00:00;00:00:00;35:00:00;113:00:00
12;;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S;RH;CA;M;M;M;RH;RH;S;S;S;RH;RH;S;S;105:00:00;125:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;42:00:00;105:00:00
13;;J2;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;RH;160:00:00;167:00:00;07:00:00;13:00:00;20:00:00;147:00:00;00:00:00;00:00:00;160:00:00
3;;M;M;FC;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;J1;J1;J1;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;114:00:00;132:00:00;18:00:00;02:00:00;20:00:00;147:00:00;07:00:00;28:00:00;114:00:00

S_2_PLAN_SKILL_000_0 (52/60);(8 manquants);2/2;2/2;2/2;2/2;2/2;0/2;1/2;1/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;1/2;2/2;1/2;1/2;2/2;2/2;2/2;1/2;2/2;2/2;2/2
M_2_PLAN_SKILL_000_0 (55/60);(5 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;1/2;0/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;1/2;2/2;2/2;2/2;2/2;1/2;2/2;2/2;2/2
N_1_PLAN_SKILL_000_0 (30/30);(0 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
J1_1_PLAN_SKILL_000_0 (21/22);(1 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;0/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
J2_1_PLAN_SKILL_000_1 (19/22);(3 manquants);1/1;1/1;1/1;1/1;;;0/1;1/1;1/1;1/1;1/1;;;0/1;1/1;1/1;1/1;1/1;;;0/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
