Mean agg res stats

Work Time Stat.0  ; Total work time                         ; 121:4:36
Work Time Stat.1  ; Effective weighted work time planned    ; 120:0:0
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 33:4:36
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 20:4:36
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:4:36
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 12:55:23
Work Time Stat.11 ; Effective work time planned             ; 120:0:0
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -13:0:0

Pref Weekend.0 ; In weekend count                           ; 1.54
Pref Weekend.1 ; Off weekend count                          ; 2.31
Pref Weekend.2 ; Cut weekend count                          ; 0.00
Pref Weekend.3 ; Worked weekend count                       ; 1.54
Pref Weekend.4 ; Worked Sunday count                        ; 1.54
Pref Weekend.5 ; Off Sunday count                           ; 2.46
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.77
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.77

Work Period Stat.1.1 ; Work periods number                  ; 4.77
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.38
Work Period Stat.1.4 ; Work period mean length              ; 3.24
Work Period Stat.2.1 ; Day work periods number              ; 3.85
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.38
Work Period Stat.2.4 ; Day work period mean length          ; 3.42
Work Period Stat.3.1 ; Night work periods number            ; 0.92
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.23
Work Period Stat.3.4 ; Night work period mean length        ; 2.50
Work Period Stat.4.1 ; Night activity number                ; 2.31
Work Period Stat.4.2 ; Day activity number                  ; 13.15
Work Period Stat.4.3 ; Total activity number                ; 15.46
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.15
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.54
Rest Period Stat.3 ; Mean length                            ; 2.54
Rest Period Stat.4 ; Rest number                            ; 13.08
Rest Period Stat.5 ; Isolated rest period nb                ; 0.54

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 14.77
Activity Stat.2  ; Assimilated work activity number         ; 0.15
Activity Stat.3  ; Different activity number                ; 2.38
Activity Stat.4  ; Planned leave number                     ; 2.00
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 2.00
Activity Stat.7  ; Activity change number                   ; 0.23
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'FC' occurrence nb              ; 0.15
Activity Stat.8  ; Activity 'J1' occurrence nb              ; 1.69
Activity Stat.8  ; Activity 'J2' occurrence nb              ; 1.62
Activity Stat.8  ; Activity 'M' occurrence nb              ; 5.77
Activity Stat.8  ; Activity 'N' occurrence nb              ; 2.23
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 13.08
Activity Stat.8  ; Activity 'S' occurrence nb              ; 3.46

Office Stat.0 ; Different office nb                                   ; 1.62
Office Stat.1 ; Office 'hopital de jour' occurrence nb        ; 3.31
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 11.46
Office Stat.3 ; Office change number                                  ; 0.23

Mean agg day res stats

Work Time Stat.0  ; Total work time                         ; 122:10:54
Work Time Stat.1  ; Effective weighted work time planned    ; 120:54:32
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 29:32:43
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 20:0:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:16:21
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 15:16:21
Work Time Stat.11 ; Effective work time planned             ; 120:54:32
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -9:-32:-43

Pref Weekend.0 ; In weekend count                           ; 1.64
Pref Weekend.1 ; Off weekend count                          ; 2.36
Pref Weekend.2 ; Cut weekend count                          ; 0.00
Pref Weekend.3 ; Worked weekend count                       ; 1.64
Pref Weekend.4 ; Worked Sunday count                        ; 1.64
Pref Weekend.5 ; Off Sunday count                           ; 2.36
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.91
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.91

Work Period Stat.1.1 ; Work periods number                  ; 4.82
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.45
Work Period Stat.1.4 ; Work period mean length              ; 3.36
Work Period Stat.2.1 ; Day work periods number              ; 4.55
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.45
Work Period Stat.2.4 ; Day work period mean length          ; 3.42
Work Period Stat.3.1 ; Night work periods number            ; 0.27
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.27
Work Period Stat.3.4 ; Night work period mean length        ; 2.33
Work Period Stat.4.1 ; Night activity number                ; 0.64
Work Period Stat.4.2 ; Day activity number                  ; 15.55
Work Period Stat.4.3 ; Total activity number                ; 16.18
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.09
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.64
Rest Period Stat.3 ; Mean length                            ; 2.38
Rest Period Stat.4 ; Rest number                            ; 12.09
Rest Period Stat.5 ; Isolated rest period nb                ; 0.45

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 15.36
Activity Stat.2  ; Assimilated work activity number         ; 0.18
Activity Stat.3  ; Different activity number                ; 2.64
Activity Stat.4  ; Planned leave number                     ; 2.36
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 2.36
Activity Stat.7  ; Activity change number                   ; 0.27
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.36
Activity Stat.8  ; Activity 'FC' occurrence nb              ; 0.18
Activity Stat.8  ; Activity 'J1' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'J2' occurrence nb              ; 1.91
Activity Stat.8  ; Activity 'M' occurrence nb              ; 6.82
Activity Stat.8  ; Activity 'N' occurrence nb              ; 0.55
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 12.09
Activity Stat.8  ; Activity 'S' occurrence nb              ; 4.09

Office Stat.0 ; Different office nb                                   ; 1.73
Office Stat.1 ; Office 'hopital de jour' occurrence nb        ; 3.91
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 11.45
Office Stat.3 ; Office change number                                  ; 0.27

Mean agg night res stats

Work Time Stat.0  ; Total work time                         ; 115:0:0
Work Time Stat.1  ; Effective weighted work time planned    ; 115:0:0
