No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;TP;N;N;RH;RH;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH;;140:00:00;168:00:00;28:00:00;00:00:00;21:00:00;147:00:00;00:00:00;00:00:00;140:00:00
2;;N;N;RH;RH;RC;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;RH;RH;RH;N;N;RH;RH;RH;;100:00:00;167:00:00;67:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;100:00:00
4;;RH;RH;FC;J1;M;M;M;RH;RH;S;S;S;S;RH;RH;J1;J1;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH;;100:00:00;132:00:00;32:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;100:00:00
5;;S;RH;RH;RH;M;M;J2;S;J1;RH;RH;RH;RH;RH;RH;M;M;J1;M;M;RH;RH;M;M;RH;RH;RH;M;M;RH;;114:00:00;167:00:00;53:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;114:00:00
6;;M;J1;RH;RH;S;S;RH;RH;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;S;S;RH;RH;RH;RH;N;;97:00:00;132:00:00;35:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;97:00:00
7;;J1;S;S;RH;RH;RH;M;M;M;M;J1;RH;RH;M;M;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;J1;S;S;;149:00:00;167:00:00;18:00:00;02:00:00;20:00:00;147:00:00;00:00:00;00:00:00;149:00:00
8;;RH;RH;M;M;RH;RH;S;J1;M;M;J2;RH;RH;J1;S;RH;RH;J2;S;S;S;RH;RH;M;J1;M;M;RH;RH;RH;;134:00:00;167:00:00;33:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;134:00:00
9;;S;S;S;RH;RH;RH;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;M;M;J1;M;N;RH;RH;S;S;RH;RH;M;;132:00:00;167:00:00;35:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;132:00:00
10;;M;RH;RH;S;S;S;J1;M;RH;RH;M;M;M;RH;RH;S;S;S;RH;RH;M;S;S;S;S;RH;RH;RH;J2;J1;;142:00:00;167:00:00;25:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;142:00:00
11;;RH;M;J1;J2;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;J1;M;M;M;RH;RH;N;N;RH;RH;M;M;M;S;RH;RH;;113:00:00;132:00:00;19:00:00;01:00:00;20:00:00;147:00:00;00:00:00;35:00:00;113:00:00
12;;RH;RH;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH;RH;CA;RH;RH;J2;J1;J1;J1;M;RH;RH;J2;J1;M;;102:00:00;125:00:00;23:00:00;00:00:00;20:00:00;147:00:00;00:00:00;42:00:00;102:00:00
13;;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2;;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
3;;RH;M;FC;S;N;N;RH;RH;S;J1;M;M;M;RH;RH;RH;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S;;107:00:00;132:00:00;25:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;107:00:00

0_S_0 (60/60);(0 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
1_M_0 (60/60);(0 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
2_N_0 (30/30);(0 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
3_J1_0 (22/22);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
4_J2_1 (22/22);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
