Mean agg res stats

Work Time Stat.0  ; Total work time                         ; 122:36:55
Work Time Stat.1  ; Effective weighted work time planned    ; 121:32:18
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 31:32:18
Work Time Stat.4  ; Supp time planned                       ; 0:27:41
Work Time Stat.5  ; Supp time allowed                       ; 20:4:36
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:4:36
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 12:55:23
Work Time Stat.11 ; Effective work time planned             ; 121:32:18
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -11:-27:-41

Pref Weekend.0 ; In weekend count                           ; 1.54
Pref Weekend.1 ; Off weekend count                          ; 2.31
Pref Weekend.2 ; Cut weekend count                          ; 0.00
Pref Weekend.3 ; Worked weekend count                       ; 1.54
Pref Weekend.4 ; Worked Sunday count                        ; 1.54
Pref Weekend.5 ; Off Sunday count                           ; 2.46
Pref Weekend.6 ; Weekend off around planned leave           ; 90%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.77
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.69

Work Period Stat.1.1 ; Work periods number                  ; 4.77
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.38
Work Period Stat.1.4 ; Work period mean length              ; 3.29
Work Period Stat.2.1 ; Day work periods number              ; 3.77
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.38
Work Period Stat.2.4 ; Day work period mean length          ; 3.53
Work Period Stat.3.1 ; Night work periods number            ; 1.00
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.23
Work Period Stat.3.4 ; Night work period mean length        ; 2.38
Work Period Stat.4.1 ; Night activity number                ; 2.38
Work Period Stat.4.2 ; Day activity number                  ; 13.31
Work Period Stat.4.3 ; Total activity number                ; 15.69
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.08
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.62
Rest Period Stat.3 ; Mean length                            ; 2.55
Rest Period Stat.4 ; Rest number                            ; 12.92
Rest Period Stat.5 ; Isolated rest period nb                ; 0.31

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 14.92
Activity Stat.2  ; Assimilated work activity number         ; 0.15
Activity Stat.3  ; Different activity number                ; 3.08
Activity Stat.4  ; Planned leave number                     ; 2.00
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 2.00
Activity Stat.7  ; Activity change number                   ; 2.23
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'FC' occurrence nb              ; 0.15
Activity Stat.8  ; Activity 'J1' occurrence nb              ; 1.69
Activity Stat.8  ; Activity 'J2' occurrence nb              ; 1.69
Activity Stat.8  ; Activity 'M' occurrence nb              ; 5.77
Activity Stat.8  ; Activity 'N' occurrence nb              ; 2.31
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 12.92
Activity Stat.8  ; Activity 'S' occurrence nb              ; 3.46

Office Stat.0 ; Different office nb                                   ; 1.69
Office Stat.1 ; Office 'hopital de jour' occurrence nb        ; 3.38
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 11.54
Office Stat.3 ; Office change number                                  ; 2.23

Mean agg day res stats

Work Time Stat.0  ; Total work time                         ; 124:54:32
Work Time Stat.1  ; Effective weighted work time planned    ; 123:38:10
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 26:49:5
Work Time Stat.4  ; Supp time planned                       ; 0:32:43
Work Time Stat.5  ; Supp time allowed                       ; 20:0:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:16:21
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 15:16:21
Work Time Stat.11 ; Effective work time planned             ; 123:38:10
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -6:-49:-5

Pref Weekend.0 ; In weekend count                           ; 1.64
Pref Weekend.1 ; Off weekend count                          ; 2.27
Pref Weekend.2 ; Cut weekend count                          ; 0.00
Pref Weekend.3 ; Worked weekend count                       ; 1.64
Pref Weekend.4 ; Worked Sunday count                        ; 1.64
Pref Weekend.5 ; Off Sunday count                           ; 2.36
Pref Weekend.6 ; Weekend off around planned leave           ; 90%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.91
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.82

Work Period Stat.1.1 ; Work periods number                  ; 4.73
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.45
Work Period Stat.1.4 ; Work period mean length              ; 3.48
Work Period Stat.2.1 ; Day work periods number              ; 4.45
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.45
Work Period Stat.2.4 ; Day work period mean length          ; 3.53
Work Period Stat.3.1 ; Night work periods number            ; 0.27
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.27
Work Period Stat.3.4 ; Night work period mean length        ; 2.67
Work Period Stat.4.1 ; Night activity number                ; 0.73
Work Period Stat.4.2 ; Day activity number                  ; 15.73
Work Period Stat.4.3 ; Total activity number                ; 16.45
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.09
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.45
Rest Period Stat.3 ; Mean length                            ; 2.32
Rest Period Stat.4 ; Rest number                            ; 11.82
Rest Period Stat.5 ; Isolated rest period nb                ; 0.27

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 15.64
Activity Stat.2  ; Assimilated work activity number         ; 0.18
Activity Stat.3  ; Different activity number                ; 3.45
Activity Stat.4  ; Planned leave number                     ; 2.36
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 2.36
Activity Stat.7  ; Activity change number                   ; 2.64
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.36
Activity Stat.8  ; Activity 'FC' occurrence nb              ; 0.18
Activity Stat.8  ; Activity 'J1' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'J2' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'M' occurrence nb              ; 6.82
Activity Stat.8  ; Activity 'N' occurrence nb              ; 0.73
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 11.82
Activity Stat.8  ; Activity 'S' occurrence nb              ; 4.09

Office Stat.0 ; Different office nb                                   ; 1.82
Office Stat.1 ; Office 'hopital de jour' occurrence nb        ; 4.00
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 11.64
Office Stat.3 ; Office change number                                  ; 2.64

Mean agg night res stats

Work Time Stat.0  ; Total work time                         ; 110:0:0
Work Time Stat.1  ; Effective weighted work time planned    ; 110:0:0
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 57:30:0
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 20:30:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 0:0:0
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 0:0:0
Work Time Stat.11 ; Effective work time planned             ; 110:0:0
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -37:0:0

Pref Weekend.0 ; In weekend count                           ; 1.00
Pref Weekend.1 ; Off weekend count                          ; 2.50
Pref Weekend.2 ; Cut weekend count                          ; 0.00
Pref Weekend.3 ; Worked weekend count                       ; 1.00
Pref Weekend.4 ; Worked Sunday count                        ; 1.00
Pref Weekend.5 ; Off Sunday count                           ; 3.00
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.00
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.00

Work Period Stat.1.1 ; Work periods number                  ; 5.00
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 1.50
Work Period Stat.1.4 ; Work period mean length              ; 2.30
Work Period Stat.2.1 ; Day work periods number              ; 0.00
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.00
Work Period Stat.2.4 ; Day work period mean length          ; 0.00
Work Period Stat.3.1 ; Night work periods number            ; 5.00
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 1.50
Work Period Stat.3.4 ; Night work period mean length        ; 2.30
Work Period Stat.4.1 ; Night activity number                ; 11.50
Work Period Stat.4.2 ; Day activity number                  ; 0.00
Work Period Stat.4.3 ; Total activity number                ; 11.50
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.00
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 4.00
Rest Period Stat.3 ; Mean length                            ; 3.80
Rest Period Stat.4 ; Rest number                            ; 19.00
Rest Period Stat.5 ; Isolated rest period nb                ; 0.50

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 11.00
Activity Stat.2  ; Assimilated work activity number         ; 0.00
Activity Stat.3  ; Different activity number                ; 1.00
Activity Stat.4  ; Planned leave number                     ; 0.00
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 0.00
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'N' occurrence nb              ; 11.00
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 19.00

Office Stat.0 ; Different office nb                                   ; 1.00
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 11.00
Office Stat.3 ; Office change number                                  ; 0.00

