No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
1;;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;RH;RH;N;N;RH;RH;RH;RH;RH;N;N;RH
2;;RH;N;N;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;RH;N;N;RH;RH;RH;RH;N;N;N;RH;RH;RH
4;;RH;RH;FC;S;S;S;RH;RH;J1;M;RH;RH;RH;RH;J1;S;J1;J1;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M
5;;S;RH;RH;RH;M;M;M;J1;M;RH;RH;S;S;RH;RH;N;N;N;RH;RH;J2;S;S;S;RH;RH;RH;RH;RH;S
6;;M;J1;M;RH;RH;RH;S;S;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;S;J1;M;M;RH;RH;RH;M;M
7;;RH;RH;M;J1;RH;RH;M;M;M;M;M;RH;RH;J1;M;J1;RH;RH;S;S;S;J1;RH;RH;M;M;M;M;RH;RH
8;;J1;RH;RH;M;M;M;J2;J2;RH;RH;RH;M;M;M;M;M;RH;RH;RH;RH;M;M;M;J1;S;RH;RH;J2;S;S
9;;M;M;RH;RH;M;M;J1;RH;RH;M;M;M;M;M;RH;RH;S;S;RH;RH;RH;RH;S;S;S;S;S;RH;RH;N
10;;M;M;M;M;RH;RH;M;M;RH;RH;M;M;M;J2;RH;RH;M;M;M;M;RH;RH;N;N;RH;RH;RH;S;S;RH
11;;RH;S;S;J2;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;S;S;S;S;S;RH;RH;M;J1;S;S;S;RH;RH
12;;RH;M;J1;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S;RH;CA;M;M;M;M;M;RH;RH;M;M;RH;RH;RH
13;;J2;J2;J2;RH;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2
3;;RH;RH;FC;N;RH;RH;RH;M;M;J1;J1;RH;RH;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1

