No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;RH;N;N;N;RH;RH;RH;RH;N;N;N;N;RH;RH;RH;N;N;N;N;RH;RH;RH;RH;N;N;N;N;RH;;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
2;;N;N;N;RH;RH;RH;N;N;N;N;RH;RH;RH;RH;N;N;N;RH;RH;RH;RH;N;N;N;N;RH;RH;RH;RH;N;;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
4;;RH;S;FC;J1;S;RH;RH;RH;S;S;S;S;S;S;RH;RH;J1;J1;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;;116:00:00;132:00:00;16:00:00;04:00:00;20:00:00;147:00:00;07:00:00;28:00:00;116:00:00
5;;S;RH;RH;S;S;S;S;S;RH;RH;J1;S;S;S;S;S;RH;RH;S;S;S;RH;RH;S;S;S;S;S;S;RH;;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
6;;J1;J1;J1;RH;RH;M;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;J1;RH;RH;M;M;RH;RH;;126:00:00;132:00:00;06:00:00;14:00:00;20:00:00;147:00:00;00:00:00;35:00:00;126:00:00
7;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;00:00:00;20:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;147:00:00;00:00:00
8;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;00:00:00;20:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;147:00:00;00:00:00
9;;M;M;M;M;RH;RH;J1;J1;J1;J1;RH;RH;M;J2;RH;RH;M;M;M;RH;RH;RH;S;S;S;S;S;RH;RH;S;;148:00:00;167:00:00;19:00:00;01:00:00;20:00:00;147:00:00;00:00:00;00:00:00;148:00:00
10;;S;S;S;RH;RH;S;S;S;S;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;M;M;M;M;M;RH;RH;M;M;;147:00:00;167:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;147:00:00
11;;RH;RH;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;S;S;RH;RH;S;S;S;RH;RH;M;M;M;M;M;;114:00:00;132:00:00;18:00:00;02:00:00;20:00:00;147:00:00;00:00:00;35:00:00;114:00:00
