No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;N;TP;RH;RH;RH;RH;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH;;130:00:00;168:00:00;38:00:00;00:00:00;21:00:00;147:00:00;00:00:00;00:00:00;130:00:00
2;;RH;N;N;RH;RC;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;N;N;RH;RH;N;N;RH;RH;RH;;120:00:00;167:00:00;47:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;120:00:00
4;;RH;RH;FC;N;N;N;RH;RH;RH;S;S;S;S;RH;RH;RH;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;;102:00:00;132:00:00;30:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;102:00:00
5;;S;S;S;RH;RH;RH;J1;J1;J1;RH;RH;M;M;RH;RH;RH;M;M;M;M;RH;RH;RH;S;S;RH;RH;J2;J2;J2;;137:00:00;167:00:00;30:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;137:00:00
6;;J1;J1;J1;J1;RH;RH;S;S;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;RH;RH;S;S;RH;RH;RH;;110:00:00;132:00:00;22:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;110:00:00
7;;S;S;RH;RH;S;S;S;S;S;RH;RH;S;S;S;S;S;RH;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;S;;140:00:00;167:00:00;27:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;140:00:00
8;;M;RH;RH;M;M;M;M;RH;RH;M;M;RH;RH;J2;J2;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;S;S;RH;;132:00:00;167:00:00;35:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;132:00:00
9;;J2;RH;RH;RH;M;M;M;M;M;RH;RH;M;M;M;M;M;RH;RH;M;M;N;RH;RH;J1;J1;RH;RH;M;M;M;;145:00:00;167:00:00;22:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;145:00:00
10;;RH;RH;S;S;S;S;J2;RH;RH;J1;J1;RH;RH;S;S;S;S;S;RH;RH;J1;J1;J1;RH;RH;M;M;RH;RH;M;;144:00:00;167:00:00;23:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;144:00:00
11;;RH;M;M;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;J1;J1;J1;RH;RH;M;M;M;M;M;RH;RH;RH;RH;N;;89:00:00;132:00:00;43:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;89:00:00
12;;RH;RH;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;RH;RH;CA;S;S;J2;RH;RH;M;M;M;M;RH;RH;S;;93:00:00;125:00:00;32:00:00;00:00:00;20:00:00;147:00:00;00:00:00;42:00:00;93:00:00
13;;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;RH;;140:00:00;167:00:00;27:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;140:00:00
3;;M;M;FC;S;RH;RH;RH;M;M;M;M;RH;RH;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH;;98:00:00;132:00:00;34:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;98:00:00

0_S_0 (60/60);(0 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
1_M_0 (60/60);(0 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
2_N_0 (30/30);(0 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
3_J1_0 (22/22);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
4_J2_1 (22/22);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
