No Agent                     ;               ; 01/04/2025; 02/04/2025; 03/04/2025; 04/04/2025; 05/04/2025; 06/04/2025; 07/04/2025; 08/04/2025; 09/04/2025; 10/04/2025; 11/04/2025; 12/04/2025; 13/04/2025; 14/04/2025; 15/04/2025; 16/04/2025; 17/04/2025; 18/04/2025; 19/04/2025; 20/04/2025; 21/04/2025; 22/04/2025; 23/04/2025; 24/04/2025; 25/04/2025; 26/04/2025; 27/04/2025; 28/04/2025; 29/04/2025; 30/04/2025; Statistiques de temps de travail; Temps de travail effectif pondéré planifié; Temps dispo (heures supp, congés, travail assimilé pris en compte); Temps disponible restant; Temps supplémentaire planifié; Temps supplémentaire autorisé; Temps contractuel; Temps de travail assimilé; Temps d'absence pour congés; Temps de travail effectif planifié
1                            ;               ; RH        ; RH        ; N         ; N         ; RH        ; RH        ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; RH        ; RH        ; RH        ; 130:00:00                       ; 167:00:00                                 ; 37:00:00                                                          ; 00:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 130:00:00
2                            ;               ; N         ; N         ; RH        ; RH        ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; RH        ; RH        ; N         ; N         ; N         ; RH        ; 150:00:00                       ; 167:00:00                                 ; 17:00:00                                                          ; 03:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 150:00:00
4                            ;               ; RH        ; RH        ; FC        ; J1        ; RH        ; RH        ; M         ; M         ; J1        ; J1        ; J1        ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; RH        ; RH        ; CA        ; CA        ; CA        ; CA        ; CA        ; RH        ; RH        ; M         ; M         ; N         ; 113:00:00                       ; 132:00:00                                 ; 19:00:00                                                          ; 01:00:00                ; 20:00:00                     ; 147:00:00                    ; 07:00:00         ; 28:00:00                 ; 113:00:00
5                            ;               ; S         ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; RH        ; RH        ; M         ; M         ; M         ; M         ; RH        ; RH        ; M         ; M         ; M         ; M         ; M         ; RH        ; RH        ; J1        ; J1        ; M         ; M         ; RH        ; RH        ; J2        ; 149:00:00                       ; 167:00:00                                 ; 18:00:00                                                          ; 02:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 149:00:00
6                            ;               ; J1        ; J1        ; J1        ; RH        ; RH        ; RH        ; J1        ; J1        ; M         ; M         ; M         ; RH        ; RH        ; CA        ; CA        ; CA        ; CA        ; CA        ; RH        ; RH        ; M         ; M         ; M         ; M         ; RH        ; RH        ; M         ; M         ; RH        ; RH        ; 113:00:00                       ; 132:00:00                                 ; 19:00:00                                                          ; 01:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 35:00:00                 ; 113:00:00
7                            ;               ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; 00:00:00                        ; 20:00:00                                  ; 20:00:00                                                          ; 00:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 147:00:00                ; 00:00:00
8                            ;               ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; CLD       ; 00:00:00                        ; 20:00:00                                  ; 20:00:00                                                          ; 00:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 147:00:00                ; 00:00:00
9                            ;               ; M         ; M         ; M         ; RH        ; RH        ; M         ; M         ; M         ; M         ; M         ; RH        ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; RH        ; RH        ; J1        ; J1        ; J1        ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; 156:00:00                       ; 167:00:00                                 ; 11:00:00                                                          ; 09:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 156:00:00
10                           ;               ; RH        ; RH        ; M         ; M         ; M         ; M         ; RH        ; RH        ; S         ; S         ; S         ; S         ; RH        ; RH        ; M         ; M         ; M         ; M         ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; RH        ; RH        ; J1        ; J1        ; J1        ; 149:00:00                       ; 167:00:00                                 ; 18:00:00                                                          ; 02:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 149:00:00
11                           ;               ; J2        ; S         ; S         ; J2        ; RH        ; RH        ; CA        ; CA        ; CA        ; CA        ; CA        ; RH        ; RH        ; J1        ; J1        ; RH        ; RH        ; J2        ; S         ; RH        ; RH        ; M         ; M         ; M         ; M         ; M         ; RH        ; RH        ; RH        ; M         ; 113:00:00                       ; 132:00:00                                 ; 19:00:00                                                          ; 01:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 35:00:00                 ; 113:00:00
12                           ;               ; S         ; S         ; S         ; S         ; RH        ; RH        ; CA        ; CA        ; CA        ; CA        ; CA        ; RH        ; RH        ; M         ; M         ; M         ; RH        ; CA        ; M         ; M         ; RH        ; RH        ; S         ; S         ; S         ; S         ; RH        ; RH        ; M         ; M         ; 105:00:00                       ; 125:00:00                                 ; 20:00:00                                                          ; 00:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 42:00:00                 ; 105:00:00
13                           ;               ; RH        ; J2        ; J2        ; RH        ; RH        ; RH        ; J2        ; J2        ; J2        ; J2        ; RH        ; RH        ; RH        ; J2        ; J2        ; J2        ; J2        ; RH        ; RH        ; RH        ; J2        ; J2        ; J2        ; J2        ; RH        ; RH        ; RH        ; J2        ; J2        ; RH        ; 160:00:00                       ; 167:00:00                                 ; 07:00:00                                                          ; 13:00:00                ; 20:00:00                     ; 147:00:00                    ; 00:00:00         ; 00:00:00                 ; 160:00:00
3                            ;               ; M         ; M         ; FC        ; M         ; M         ; RH        ; RH        ; RH        ; S         ; S         ; S         ; S         ; S         ; RH        ; RH        ; J1        ; J1        ; J1        ; RH        ; RH        ; CA        ; CA        ; CA        ; CA        ; CA        ; RH        ; RH        ; S         ; S         ; S         ; 114:00:00                       ; 132:00:00                                 ; 18:00:00                                                          ; 02:00:00                ; 20:00:00                     ; 147:00:00                    ; 07:00:00         ; 28:00:00                 ; 114:00:00

S_2_PLAN_SKILL_000_0 (49/60) ; (11 manquants); 2/2       ; 2/2       ; 2/2       ; 2/2       ; 1/2       ; 1/2       ; 1/2       ; 1/2       ; 2/2       ; 2/2       ; 2/2       ; 2/2       ; 1/2       ; 2/2       ; 2/2       ; 2/2       ; 2/2       ; 2/2       ; 1/2       ; 0/2       ; 1/2       ; 1/2       ; 2/2       ; 2/2       ; 2/2       ; 2/2       ; 1/2       ; 2/2       ; 2/2       ; 2/2
