Stat name;2025-04-01;2025-04-02;2025-04-03;2025-04-04;2025-04-05;2025-04-06;2025-04-07;2025-04-08;2025-04-09;2025-04-10;2025-04-11;2025-04-12;2025-04-13;2025-04-14;2025-04-15;2025-04-16;2025-04-17;2025-04-18;2025-04-19;2025-04-20;2025-04-21;2025-04-22;2025-04-23;2025-04-24;2025-04-25;2025-04-26;2025-04-27;2025-04-28;2025-04-29;2025-04-30
Assimilated Work Assigned Number;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity FC Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity TSY Assigned Number;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rest Assigned Number;24;24;24;24;30;30;23;23;23;23;22;29;29;27;27;27;27;27;30;30;24;24;24;24;24;30;30;30;30;30
Planned Leave Assigned Number;4;4;4;4;0;0;6;6;6;6;7;0;0;3;3;3;3;3;0;0;6;6;6;6;6;0;0;0;0;0
Unplanned Leave Assigned Number;3;3;3;3;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Leave Assigned Number;7;7;7;7;2;2;8;8;9;9;10;3;3;5;5;5;5;5;2;2;8;8;8;8;8;2;2;2;2;2
Available Resource Number;31;31;31;31;32;32;31;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
Daily undercoverage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Night Effective Work Need Time;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0
Effective Work Need Time Excl Night;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0;84:0:0
Effective Work Need Time;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0;168:0:0
Night Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Night Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
