dataset,hexaly_iteration_time,mathopt_solve_time
1,1,0.319161
1,1,0.459469
1,137,0.400534
1,0,0.359027
1,440,577.041693
2,0,0.217411
2,0,0.352840
2,289,289.072000
2,203,202.162528
2,87,87.023289
3,0,0.182160
3,1,0.505150
3,32,0.476868
3,0,0.344892
3,118,28.929971
4,0,0.224055
4,1,0.577218
4,34,289.038222
4,60,202.034409
4,484,86.299761
5,1,0.346691
5,4,1.083765
5,258,1.010250
5,0,0.763976
5,314,43.714173
6,1,0.249267
6,3,0.470915
6,287,0.392130
6,161,0.333476
6,127,577.044351
7,0,0.016465
7,0,0.026990
7,0,0.022451
7,0,0.022620
7,0,0.027675
8,0,0.014483
8,0,0.009227
8,0,0.009512
8,0,0.008196
8,0,0.007372
