dataset,hexaly solver,,,,mathopt solver,,,
,bound,obj,iteration_time,GAP_hexaky,primal_bound,dual_bound,solve_time,GAP-mathopt
1,0,0,1,,0,0,0.260450,
1,10000,10000,1,0.000000,10000,10000,0.457938,0.000000
1,0,200,288,1.000000,0,0,0.496388,
1,0,0,25,,0,0,0.349553,
1,149,242,264,0.384298,155,149,578.064311,0.038710
2,8e+06,8e+06,0,0.000000,8e+06,8e+06,0.208161,0.000000
2,10000,10000,1,0.000000,10000,10000,0.210595,0.000000
2,2000,2800,289,0.285714,2600,2600,217.281773,0.000000
2,2800,4800,203,0.416667,4600,2600,253.033605,0.434783
2,2867.17,4840,87,0.407610,4604,2800,109.039476,0.391833
3,1.2e+07,1.2e+07,0,0.000000,1.2e+07,1.2e+07,0.169170,0.000000
3,0,0,0,,0,0,0.558265,
3,0,0,59,,0,0,0.505121,
3,0,0,0,,0,0,0.361404,
3,528,528,397,0.000000,528,528,7.812555,0.000000
4,1.2e+07,1.2e+07,1,0.000000,1.2e+07,1.2e+07,0.245361,0.000000
4,0,0,1,,0,0,0.671019,
4,1220,1220,187,0.000000,1220,1120,289.086019,0.081967
4,2220,2220,59,0.000000,2220,2120,202.170492,0.045045
4,2774,2808,331,0.012108,2807,2726,87.057980,0.028856
5,1e+07,1e+07,1,0.000000,1e+07,1e+07,0.449966,0.000000
5,0,0,1,,0,0,0.759377,
5,0,0,8,,0,0,1.000619,
5,0,0,0,,0,0,0.642421,
5,1121,1121,47,0.000000,1121,1121,6.558478,0.000000
6,0,0,0,,0,0,0.258920,
6,10000,10000,1,0.000000,10000,10000,0.600373,0.000000
6,0,400,289,1.000000,0,0,0.486449,
6,0,0,180,,0,0,0.340672,
6,149,227,108,0.343612,152,149,578.155562,0.019737
7,0,0,0,,0,0,0.015488,
7,0,0,0,,0,0,0.020645,
7,5400,5400,0,0.000000,5400,5400,0.028861,0.000000
7,8400,8400,0,0.000000,8400,8400,0.028203,0.000000
7,8408,8408,0,0.000000,8408,8408,0.026332,0.000000
8,0,0,0,,0,0,0.014760,
8,0,0,0,,0,0,0.007657,
8,1000,1000,0,0.000000,1000,1000,0.007118,0.000000
8,2000,2000,0,0.000000,2000,2000,0.008821,0.000000
8,2124,2124,0,0.000000,2124,2124,0.009557,0.000000
