metric_code         , metric_name                                    , hexaly_value_dataset_1, mathopt_value_dataset_1, hexaly_value_dataset_2, mathopt_value_dataset_2, hexaly_value_dataset_3, mathopt_value_dataset_3, hexaly_value_dataset_4, mathopt_value_dataset_4, hexaly_value_dataset_5, mathopt_value_dataset_5, hexaly_value_dataset_6, mathopt_value_dataset_6, hexaly_value_dataset_7, mathopt_value_dataset_7, hexaly_value_dataset_8, mathopt_value_dataset_8
Work Time Stat.0    , Total work time                                , 122:36:55             , 122:36:55              , 112:18:27             , 112:46:9               , 97:30:0               , 97:30:0                , 93:49:17              , 93:49:17               , 110:28:41             , 110:28:41              , 121:4:36              , 121:4:36               , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.1    , Effective weighted work time planned           , 121:32:18             , 121:32:18              , 111:13:50             , 111:41:32              , 97:30:0               , 97:30:0                , 93:49:17              , 93:49:17               , 109:33:54             , 109:33:54              , 120:0:0               , 120:0:0                , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.2    , Initial available time                         , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 145:57:0              , 145:57:0               , 145:57:0              , 145:57:0               , 146:21:39             , 146:21:39              , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0
Work Time Stat.3    , Remaining available time                       , 31:32:18              , 31:32:18               , 19:9:13               , 18:41:32               , 36:57:0               , 36:57:0                , 20:52:42              , 20:52:42               , 15:29:28              , 15:29:28               , 33:4:36               , 33:4:36                , 12:0:0                , 12:0:0                 , 82:0:0                , 82:0:0
Work Time Stat.4    , Supp time planned                              , 0:13:50               , 0:0:0                  , 3:41:32               , 2:36:55                , 1:39:25               , 1:39:25                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:27:41               , 0:0:0                  , 8:0:0                 , 8:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.5    , Supp time allowed                              , 20:4:36               , 20:4:36                , 20:0:0                , 20:0:0                 , 19:45:0               , 19:45:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 20:4:36               , 20:4:36                , 20:0:0                , 20:0:0                 , 20:0:0                , 20:0:0
Work Time Stat.6    , Contract time                                  , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 145:57:0              , 145:57:0               , 145:57:0              , 145:57:0               , 146:21:39             , 146:21:39              , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0
Work Time Stat.7    , Assimilated work time                          , 1:4:36                , 1:4:36                 , 1:4:36                , 1:4:36                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:54:46               , 0:54:46                , 1:4:36                , 1:4:36                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.8    , Planned leave time                             , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.9    , Unplanned leave time                           , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.10   , Leave time                                     , 12:55:23              , 12:55:23               , 35:32:18              , 35:32:18               , 31:15:0               , 31:15:0                , 31:15:0               , 31:15:0                , 20:23:28              , 20:23:28               , 12:55:23              , 12:55:23               , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.11   , Effective work time planned                    , 121:32:18             , 121:32:18              , 111:13:50             , 111:41:32              , 97:30:0               , 97:30:0                , 93:49:17              , 93:49:17               , 109:33:54             , 109:33:54              , 120:0:0               , 120:0:0                , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.12   , Start cumulated supp time                      , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 11:4:17               , 11:4:17                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.13   , End cumulated supp time                        , -11:-27:-41           , -11:-27:-41            , 0:50:46               , 1:18:27                , -6:-7:-42             , -6:-7:-42              , -20:-52:-42           , -20:-52:-42            , -15:-29:-28           , -15:-29:-28            , -13:0:0               , -13:0:0                , 8:0:0                 , 8:0:0                  , -62:0:0               , -62:0:0
Pref Weekend.0      , In weekend count                               , 1.54                  , 1.54                   , 0.62                  , 0.85                   , 0.64                  , 0.61                   , 0.75                  , 0.75                   , 0.61                  , 0.61                   , 1.54                  , 1.54                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.1      , Off weekend count                              , 2.15                  , 2.31                   , 2.23                  , 2.31                   , 2.25                  , 2.18                   , 2.29                  , 2.29                   , 1.87                  , 1.87                   , 2.31                  , 2.23                   , 3.00                  , 3.00                   , 4.00                  , 4.00
Pref Weekend.2      , Cut weekend count                              , 0.00                  , 0.00                   , 1.00                  , 0.69                   , 1.00                  , 1.07                   , 0.79                  , 0.79                   , 1.22                  , 1.22                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.3      , Worked weekend count                           , 1.54                  , 1.54                   , 1.62                  , 1.54                   , 1.64                  , 1.68                   , 1.54                  , 1.54                   , 1.83                  , 1.83                   , 1.54                  , 1.54                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.4      , Worked Sunday count                            , 1.54                  , 1.54                   , 0.92                  , 1.08                   , 1.14                  , 1.14                   , 1.14                  , 1.14                   , 1.22                  , 1.22                   , 1.54                  , 1.54                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.5      , Off Sunday count                               , 2.46                  , 2.46                   , 3.08                  , 2.92                   , 2.86                  , 2.86                   , 2.86                  , 2.86                   , 2.78                  , 2.78                   , 2.46                  , 2.46                   , 3.00                  , 3.00                   , 4.00                  , 4.00
Pref Weekend.6      , Weekend off around planned leave               , 80%                   , 100%                   , 100%                  , 100%                   , 100%                  , 95%                    , 100%                  , 100%                   , 47%                   , 53%                    , 100%                  , 100%                   , 100%                  , 100%                   , 100%                  , 100%
Pref Weekend.7      , Total weekend around planned leave count       , 0.77                  , 0.77                   , 0.77                  , 0.77                   , 0.71                  , 0.71                   , 0.71                  , 0.71                   , 0.65                  , 0.65                   , 0.77                  , 0.77                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.8      , Off weekend around planned leave count         , 0.62                  , 0.77                   , 0.77                  , 0.77                   , 0.71                  , 0.68                   , 0.71                  , 0.71                   , 0.30                  , 0.35                   , 0.77                  , 0.77                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.1, Work periods number                            , 4.85                  , 4.92                   , 3.85                  , 4.15                   , 3.50                  , 3.64                   , 3.36                  , 3.61                   , 4.74                  , 4.80                   , 4.69                  , 4.77                   , 5.00                  , 5.00                   , 3.50                  , 3.50
Work Period Stat.1.2, Work period min length                         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.3, Work period max length                         , 0.38                  , 0.38                   , 0.38                  , 0.38                   , 0.14                  , 0.14                   , 0.14                  , 0.14                   , 0.09                  , 0.09                   , 0.38                  , 0.38                   , 2.00                  , 2.00                   , 2.00                  , 2.00
Work Period Stat.1.4, Work period mean length                        , 3.25                  , 3.14                   , 3.64                  , 3.37                   , 2.55                  , 2.49                   , 2.54                  , 2.39                   , 2.01                  , 2.01                   , 3.39                  , 3.23                   , 3.10                  , 3.10                   , 2.43                  , 2.43
Work Period Stat.2.1, Day work periods number                        , 4.00                  , 4.00                   , 3.15                  , 3.31                   , 2.57                  , 2.64                   , 2.43                  , 2.64                   , 2.46                  , 2.46                   , 3.77                  , 3.77                   , 5.00                  , 5.00                   , 3.50                  , 3.50
Work Period Stat.2.2, Day work period min length                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
