dataset, optimal_index, primal_bound, dual_bound, solve_time
      1,             1,            0,          0, 319.160861ms
      1,             2,        10000,      10000, 459.469017ms
      1,             3,            0,          0, 400.534122ms
      1,             4,            0,          0, 359.027432ms
      1,             5,          156,        149, 9m37.041692883s
      2,             1,            0,          0, 217.411462ms
      2,             2,        10000,      10000, 352.839504ms
      2,             3,         3400,       3200, 4m49.071999635s
      2,             4,         5400,       3000, 3m22.162527737s
      2,             5,         5424,       2875, 1m27.023289231s
      3,             1,            0,          0, 182.159655ms
      3,             2,            0,          0, 505.149583ms
      3,             3,            0,          0, 476.867989ms
      3,             4,            0,          0, 344.891804ms
      3,             5,          528,        528, 28.929970927s
      4,             1,            0,          0, 224.055321ms
      4,             2,            0,          0, 577.217527ms
      4,             3,         1220,       1140, 4m49.03822157s
      4,             4,         2220,       2160, 3m22.034408891s
      4,             5,         2807,       2726, 1m26.299761431s
      5,             1,            0,          0, 346.691045ms
      5,             2,            0,          0, 1.083765479s
      5,             3,            0,          0, 1.010250075s
      5,             4,            0,          0, 763.976244ms
      5,             5,         1125,       1125, 43.71417344s
      6,             1,            0,          0, 249.267309ms
      6,             2,        10000,      10000, 470.915127ms
      6,             3,            0,          0, 392.13032ms
      6,             4,            0,          0, 333.47553ms
      6,             5,          172,        169, 9m37.04435082s
      7,             1,            0,          0, 16.464882ms
      7,             2,            0,          0, 26.989653ms
      7,             3,         5400,       5400, 22.451182ms
      7,             4,         8400,       8400, 22.620067ms
      7,             5,         8408,       8408, 27.675388ms
      8,             1,            0,          0, 14.482535ms
      8,             2,            0,          0, 9.227058ms
      8,             3,         1000,       1000, 9.511992ms
      8,             4,         2000,       2000, 8.196218ms
      8,             5,         2124,       2124, 7.37214ms
